Unnamed: 0,DATE,OrderNumber,SKU,PCS,ReferenceID,Location,Alley_Number,Cellule,Coord,AlleyCell,x,y
0,12/11/2018,3780264,SKU_0001,2,REF_SKU_0001,LOC_SKU_0001,7,20,"[35.0, 40.9]",A3541,35.0,40.9
1,12/11/2018,3780418,SKU_0017,2,REF_SKU_0017,LOC_SKU_0017,7,4,"[35.0, 13.1]",A3513,35.0,13.1
2,12/11/2018,3780803,SKU_0001,4,REF_SKU_0001,LOC_SKU_0001,7,20,"[35.0, 40.9]",A3541,35.0,40.9
3,12/11/2018,3780096,SKU_0077,4,REF_SKU_0077,LOC_SKU_0077,1,2,"[5.0, 8.4]",A0508,5.0,8.4
4,12/11/2018,3780088,SKU_0003,5,REF_SKU_0003,LOC_SKU_0003,7,11,"[35.0, 25.3]",A3525,35.0,25.3
5,12/11/2018,3780078,SKU_0001,5,REF_SKU_0001,LOC_SKU_0001,7,20,"[35.0, 40.9]",A3541,35.0,40.9
6,12/11/2018,3780288,SKU_0017,2,REF_SKU_0017,LOC_SKU_0017,7,4,"[35.0, 13.1]",A3513,35.0,13.1
7,12/11/2018,3780120,SKU_0005,2,REF_SKU_0005,LOC_SKU_0005,8,8,"[40.0, 20.4]",A4020,40.0,20.4
8,12/11/2018,3780814,SKU_0389,5,REF_SKU_0389,LOC_SKU_0389,4,13,"[20.0, 28.1]",A2028,20.0,28.1
9,12/11/2018,3780491,SKU_0013,5,REF_SKU_0013,LOC_SKU_0013,10,1,"[50.0, 7.6]",A5008,50.0,7.6
10,12/11/2018,3780912,SKU_0002,2,REF_SKU_0002,LOC_SKU_0002,8,15,"[40.0, 32.1]",A4032,40.0,32.1
11,12/11/2018,3780452,SKU_0042,3,REF_SKU_0042,LOC_SKU_0042,3,20,"[15.0, 40.7]",A1541,15.0,40.7
12,12/11/2018,3780500,SKU_0002,2,REF_SKU_0002,LOC_SKU_0002,8,15,"[40.0, 32.1]",A4032,40.0,32.1
13,12/11/2018,3780165,SKU_0206,3,REF_SKU_0206,LOC_SKU_0206,8,23,"[40.0, 45.8]",A4046,40.0,45.8
14,12/11/2018,3780182,SKU_0004,3,REF_SKU_0004,LOC_SKU_0004,7,1,"[35.0, 8.1]",A3508,35.0,8.1
15,12/11/2018,3780469,SKU_0013,2,REF_SKU_0013,LOC_SKU_0013,10,1,"[50.0, 7.6]",A5008,50.0,7.6
16,12/11/2018,3780910,SKU_0001,1,REF_SKU_0001,LOC_SKU_0001,7,20,"[35.0, 40.9]",A3541,35.0,40.9
17,12/11/2018,3780735,SKU_0006,5,REF_SKU_0006,LOC_SKU_0006,8,18,"[40.0, 37.0]",A4037,40.0,37.0
18,12/11/2018,3780823,SKU_0111,4,REF_SKU_0111,LOC_SKU_0111,6,19,"[30.0, 40.2]",A3040,30.0,40.2
19,12/11/2018,3780944,SKU_0089,2,REF_SKU_0089,LOC_SKU_0089,6,9,"[30.0, 21.9]",A3022,30.0,21.9
20,12/11/2018,3780978,SKU_0002,3,REF_SKU_0002,LOC_SKU_0002,8,15,"[40.0, 32.1]",A4032,40.0,32.1
21,12/11/2018,3780007,SKU_0002,2,REF_SKU_0002,LOC_SKU_0002,8,15,"[40.0, 32.1]",A4032,40.0,32.1
22,12/11/2018,3780330,SKU_0098,5,REF_SKU_0098,LOC_SKU_0098,4,24,"[20.0, 47.4]",A2047,20.0,47.4
23,12/11/2018,3780775,SKU_0260,3,REF_SKU_0260,LOC_SKU_0260,9,19,"[45.0, 38.6]",A4539,45.0,38.6
24,12/11/2018,3780673,SKU_0001,4,REF_SKU_0001,LOC_SKU_0001,7,20,"[35.0, 40.9]",A3541,35.0,40.9
25,12/11/2018,3780151,SKU_0007,4,REF_SKU_0007,LOC_SKU_0007,6,1,"[30.0, 8.0]",A3008,30.0,8.0
26,12/11/2018,3780085,SKU_0003,4,REF_SKU_0003,LOC_SKU_0003,7,11,"[35.0, 25.3]",A3525,35.0,25.3
27,12/11/2018,3780147,SKU_0153,1,REF_SKU_0153,LOC_SKU_0153,10,0,"[50.0, 5.7]",A5006,50.0,5.7
28,12/11/2018,3780624,SKU_0001,3,REF_SKU_0001,LOC_SKU_0001,7,20,"[35.0, 40.9]",A3541,35.0,40.9
29,12/11/2018,3780381,SKU_0002,3,REF_SKU_0002,LOC_SKU_0002,8,15,"[40.0, 32.1]",A4032,40.0,32.1
30,12/11/2018,3780915,SKU_0058,1,REF_SKU_0058,LOC_SKU_0058,4,23,"[20.0, 45.9]",A2046,20.0,45.9
31,12/11/2018,3780548,SKU_0001,3,REF_SKU_0001,LOC_SKU_0001,7,20,"[35.0, 40.9]",A3541,35.0,40.9
32,12/11/2018,3780285,SKU_0009,1,REF_SKU_0009,LOC_SKU_0009,6,0,"[30.0, 5.5]",A3006,30.0,5.5
33,12/11/2018,3780700,SKU_0007,2,REF_SKU_0007,LOC_SKU_0007,6,1,"[30.0, 8.0]",A3008,30.0,8.0
34,12/11/2018,3780082,SKU_0003,5,REF_SKU_0003,LOC_SKU_0003,7,11,"[35.0, 25.3]",A3525,35.0,25.3
35,12/11/2018,3780514,SKU_0005,4,REF_SKU_0005,LOC_SKU_0005,8,8,"[40.0, 20.4]",A4020,40.0,20.4
36,12/11/2018,3780897,SKU_0012,1,REF_SKU_0012,LOC_SKU_0012,9,7,"[45.0, 18.5]",A4518,45.0,18.5
37,12/11/2018,3780815,SKU_0001,1,REF_SKU_0001,LOC_SKU_0001,7,20,"[35.0, 40.9]",A3541,35.0,40.9
38,12/11/2018,3780709,SKU_0016,1,REF_SKU_0016,LOC_SKU_0016,3,22,"[15.0, 43.8]",A1544,15.0,43.8
39,12/11/2018,3780916,SKU_0089,2,REF_SKU_0089,LOC_SKU_0089,6,9,"[30.0, 21.9]",A3022,30.0,21.9
40,12/11/2018,3780523,SKU_0062,1,REF_SKU_0062,LOC_SKU_0062,6,22,"[30.0, 44.7]",A3045,30.0,44.7
41,12/11/2018,3780746,SKU_0001,5,REF_SKU_0001,LOC_SKU_0001,7,20,"[35.0, 40.9]",A3541,35.0,40.9
42,12/11/2018,3780386,SKU_0001,5,REF_SKU_0001,LOC_SKU_0001,7,20,"[35.0, 40.9]",A3541,35.0,40.9
43,12/11/2018,3780707,SKU_0002,4,REF_SKU_0002,LOC_SKU_0002,8,15,"[40.0, 32.1]",A4032,40.0,32.1
44,12/11/2018,3780471,SKU_0004,2,REF_SKU_0004,LOC_SKU_0004,7,1,"[35.0, 8.1]",A3508,35.0,8.1
45,12/11/2018,3780119,SKU_0005,5,REF_SKU_0005,LOC_SKU_0005,8,8,"[40.0, 20.4]",A4020,40.0,20.4
46,12/11/2018,3780396,SKU_0033,3,REF_SKU_0033,LOC_SKU_0033,9,24,"[45.0, 48.3]",A4548,45.0,48.3
47,12/11/2018,3780532,SKU_0001,3,REF_SKU_0001,LOC_SKU_0001,7,20,"[35.0, 40.9]",A3541,35.0,40.9
48,12/11/2018,3780261,SKU_0001,3,REF_SKU_0001,LOC_SKU_0001,7,20,"[35.0, 40.9]",A3541,35.0,40.9
49,12/11/2018,3780805,SKU_0005,1,REF_SKU_0005,LOC_SKU_0005,8,8,"[40.0, 20.4]",A4020,40.0,20.4
50,12/11/2018,3780934,SKU_0038,1,REF_SKU_0038,LOC_SKU_0038,1,0,"[5.0, 6.2]",A0506,5.0,6.2
51,12/11/2018,3780256,SKU_0002,3,REF_SKU_0002,LOC_SKU_0002,8,15,"[40.0, 32.1]",A4032,40.0,32.1
52,12/11/2018,3780734,SKU_0025,4,REF_SKU_0025,LOC_SKU_0025,1,6,"[5.0, 17.0]",A0517,5.0,17.0
53,12/11/2018,3780905,SKU_0002,4,REF_SKU_0002,LOC_SKU_0002,8,15,"[40.0, 32.1]",A4032,40.0,32.1
54,12/11/2018,3780226,SKU_0175,1,REF_SKU_0175,LOC_SKU_0175,10,24,"[50.0, 48.3]",A5048,50.0,48.3
55,12/11/2018,3780053,SKU_0191,3,REF_SKU_0191,LOC_SKU_0191,5,12,"[25.0, 26.6]",A2527,25.0,26.6
56,12/11/2018,3780940,SKU_0003,4,REF_SKU_0003,LOC_SKU_0003,7,11,"[35.0, 25.3]",A3525,35.0,25.3
57,12/11/2018,3780867,SKU_0002,1,REF_SKU_0002,LOC_SKU_0002,8,15,"[40.0, 32.1]",A4032,40.0,32.1
58,12/11/2018,3780500,SKU_0005,3,REF_SKU_0005,LOC_SKU_0005,8,8,"[40.0, 20.4]",A4020,40.0,20.4
59,12/11/2018,3780506,SKU_0002,2,REF_SKU_0002,LOC_SKU_0002,8,15,"[40.0, 32.1]",A4032,40.0,32.1
60,12/11/2018,3780854,SKU_0032,3,REF_SKU_0032,LOC_SKU_0032,8,14,"[40.0, 30.9]",A4031,40.0,30.9
